details,team
Virat Kohli BAT 1500 1829,ROYAL CHALLENGERS BANGALORE
Glenn Maxwell AR 1100 1341,ROYAL CHALLENGERS BANGALORE
Harshal Patel AR 1075 1310,ROYAL CHALLENGERS BANGALORE
Wanindu Hasaranga AR 1075 1310,ROYAL CHALLENGERS BANGALORE
Josh Hazlewood BOW 775 945,ROYAL CHALLENGERS BANGALORE
Faf du Plessis BAT 700 853,ROYAL CHALLENGERS BANGALORE
Mohammed Siraj BOW 700 853,ROYAL CHALLENGERS BANGALORE
Dinesh Karthik BAT/WK 550 670,ROYAL CHALLENGERS BANGALORE
Anuj Rawat BAT/WK 340 414,ROYAL CHALLENGERS BANGALORE
Will Jacks BAT 320 390,ROYAL CHALLENGERS BANGALORE
Shahbaz Ahmed AR 240 292,ROYAL CHALLENGERS BANGALORE
David Willey AR 200 243,ROYAL CHALLENGERS BANGALORE
Reece Topley BOW 190 231,ROYAL CHALLENGERS BANGALORE
Mahipal Lomror AR 95 115,ROYAL CHALLENGERS BANGALORE
Finn Allen BAT 80 97,ROYAL CHALLENGERS BANGALORE
Siddarth Kaul BOW 75 91,ROYAL CHALLENGERS BANGALORE
Rajan Kumar BOW 70 85,ROYAL CHALLENGERS BANGALORE
Avinash Singh BOW 60 73,ROYAL CHALLENGERS BANGALORE
Karn Sharma BOW 50 60,ROYAL CHALLENGERS BANGALORE
Suyash Prabhudessai AR 30 36,ROYAL CHALLENGERS BANGALORE
Sonu Yadav AR 20 24,ROYAL CHALLENGERS BANGALORE
Manoj Bhandage AR 20 24,ROYAL CHALLENGERS BANGALORE
Akash Deep BOW 20 24,ROYAL CHALLENGERS BANGALORE
Himanshu Sharma BOW 20 24,ROYAL CHALLENGERS BANGALORE
Rajat Patidar BAT 20 24,ROYAL CHALLENGERS BANGALORE
Andre Russell AR 1600 1951,KOLKATA KNIGHT RIDERS
Shreyas Iyer BAT 1225 1493,KOLKATA KNIGHT RIDERS
CV Varun AR 1200 1463,KOLKATA KNIGHT RIDERS
Shardul Thakur BOW 1075 1310,KOLKATA KNIGHT RIDERS
Lockie Ferguson BOW 1000 1219,KOLKATA KNIGHT RIDERS
Nitish Rana AR 800 975,KOLKATA KNIGHT RIDERS
Venkatesh Iyer AR 800 975,KOLKATA KNIGHT RIDERS
Sunil Narine BOW 600 731,KOLKATA KNIGHT RIDERS
Umesh Yadav BOW 200 243,KOLKATA KNIGHT RIDERS
Tim Southee BOW 150 182,KOLKATA KNIGHT RIDERS
Shakib Al Hasan AR 150 182,KOLKATA KNIGHT RIDERS
David Wiese AR 100 121,KOLKATA KNIGHT RIDERS
Narayan Jagadeesan BAT/WK 90 109,KOLKATA KNIGHT RIDERS
Vaibhav Arora BOW 60 73,KOLKATA KNIGHT RIDERS
Rinku Singh BAT 55 67,KOLKATA KNIGHT RIDERS
Mandeep Singh BAT 50 60,KOLKATA KNIGHT RIDERS
Litton Das BAT/WK 50 60,KOLKATA KNIGHT RIDERS
Rahmanullah Gurbaz BAT/WK 50 60,KOLKATA KNIGHT RIDERS
Anukul Roy AR 20 24,KOLKATA KNIGHT RIDERS
Kulwant Khejroliya BOW 20 24,KOLKATA KNIGHT RIDERS
Harshit Rana BOW 20 24,KOLKATA KNIGHT RIDERS
Suyash Sharma BOW 20 24,KOLKATA KNIGHT RIDERS
Sam Curran AR 1850 2256,PUNJAB KINGS
Liam Livingstone AR 1150 1402,PUNJAB KINGS
Kagiso Rabada BOW 925 1128,PUNJAB KINGS
Shahrukh Khan AR 900 1097,PUNJAB KINGS
Shikhar Dhawan BAT 825 1006,PUNJAB KINGS
Jonny Bairstow BAT/WK 675 823,PUNJAB KINGS
Rahul Chahar BOW 525 640,PUNJAB KINGS
Arshdeep Singh BOW 400 487,PUNJAB KINGS
Harpreet Brar AR 380 463,PUNJAB KINGS
Raj Angad Bawa AR 200 243,PUNJAB KINGS
Nathan Ellis BOW 75 91,PUNJAB KINGS
Prabhsimran Singh BAT/WK 60 73,PUNJAB KINGS
Rishi Dhawan AR 55 67,PUNJAB KINGS
Sikandar Raza AR 50 60,PUNJAB KINGS
Bhanuka Rajapaksa BAT 50 60,PUNJAB KINGS
Harpreet Bhatia BAT 40 48,PUNJAB KINGS
Atharva Taide AR 20 24,PUNJAB KINGS
Vidwath Kaverappa BOW 20 24,PUNJAB KINGS
Shivam Singh AR 20 24,PUNJAB KINGS
Mohit Rathee AR 20 24,PUNJAB KINGS
Baltej Singh BOW 20 24,PUNJAB KINGS
Jitesh Sharma BAT/WK 20 24,PUNJAB KINGS
Ben Stokes AR 1625 1981,CHENNAI SUPER KINGS
Ravindra Jadeja AR 1600 1951,CHENNAI SUPER KINGS
Deepak Chahar BOW 1400 1707,CHENNAI SUPER KINGS
MS Dhoni BAT/WK 1200 1463,CHENNAI SUPER KINGS
Moeen Ali AR 800 975,CHENNAI SUPER KINGS
Ambati Rayudu BAT/WK 675 823,CHENNAI SUPER KINGS
Ruturaj Gaikwad BAT 600 731,CHENNAI SUPER KINGS
Shivam Dube AR 400 487,CHENNAI SUPER KINGS
Mitchell Santner AR 190 231,CHENNAI SUPER KINGS
Rajvardhan Hangargekar AR 150 182,CHENNAI SUPER KINGS
Prashant Solanki BOW 120 146,CHENNAI SUPER KINGS
Devon Conway BAT 100 121,CHENNAI SUPER KINGS
Kyle Jamieson BOW 100 121,CHENNAI SUPER KINGS
Maheesh Theekshana BOW 70 85,CHENNAI SUPER KINGS
Nishant Sindhu AR 60 73,CHENNAI SUPER KINGS
Ajinkya Rahane BAT 50 60,CHENNAI SUPER KINGS
Dwaine Pretorius AR 50 60,CHENNAI SUPER KINGS
Ajay Mandal AR 20 24,CHENNAI SUPER KINGS
Subhranshu Senapati BAT 20 24,CHENNAI SUPER KINGS
Mukesh Choudhary BOW 20 24,CHENNAI SUPER KINGS
Simarjeet Singh BOW 20 24,CHENNAI SUPER KINGS
Matheesha Pathirana BOW 20 24,CHENNAI SUPER KINGS
Bhagath Varma AR 20 24,CHENNAI SUPER KINGS
Shaik Rasheed BAT 20 24,CHENNAI SUPER KINGS
Tushar Deshpande BOW 20 24,CHENNAI SUPER KINGS
Rishabh Pant BAT/WK 1600 1951,DELHI CAPITALS
Axar Patel AR 1200 1463,DELHI CAPITALS
Prithvi Shaw BAT 800 975,DELHI CAPITALS
Mitchell Marsh AR 650 792,DELHI CAPITALS
Anrich Nortje BOW 650 792,DELHI CAPITALS
David Warner BAT 625 762,DELHI CAPITALS
Mukesh Kumar BOW 550 670,DELHI CAPITALS
Khaleel Ahmed BOW 525 640,DELHI CAPITALS
Rilee Rossouw BAT 460 560,DELHI CAPITALS
Chetan Sakariya BOW 420 512,DELHI CAPITALS
Rovman Powell BAT 280 341,DELHI CAPITALS
Manish Pandey BAT 240 292,DELHI CAPITALS
Mustafizur Rahman BOW 200 243,DELHI CAPITALS
Kuldeep Yadav BOW 200 243,DELHI CAPITALS
Phil Salt BAT/WK 200 243,DELHI CAPITALS
Kamlesh Nagarkoti AR 110 134,DELHI CAPITALS
Lalit Yadav AR 65 79,DELHI CAPITALS
Yash Dhull AR 50 60,DELHI CAPITALS
Ishant Sharma BOW 50 60,DELHI CAPITALS
Lungi Ngidi BOW 50 60,DELHI CAPITALS
Praveen Dubey AR 50 60,DELHI CAPITALS
Ripal Patel AR 20 24,DELHI CAPITALS
Aman Khan AR 20 24,DELHI CAPITALS
Vicky Ostwal AR 20 24,DELHI CAPITALS
Sarfaraz Khan AR 20 24,DELHI CAPITALS
Sanju Samson BAT/WK 1400 1707,RAJASTHAN ROYALS
Jos Buttler BAT/WK 1000 1219,RAJASTHAN ROYALS
Prasidh Krishna BOW 1000 1219,RAJASTHAN ROYALS
Shimron Hetmyer BAT 850 1036,RAJASTHAN ROYALS
Trent Boult BOW 800 975,RAJASTHAN ROYALS
Devdutt Padikkal BAT 775 945,RAJASTHAN ROYALS
Yuzvendra Chahal BOW 650 792,RAJASTHAN ROYALS
Jason Holder AR 575 701,RAJASTHAN ROYALS
R Ashwin AR 500 609,RAJASTHAN ROYALS
Yashasvi Jaiswal AR 400 487,RAJASTHAN ROYALS
Riyan Parag AR 380 463,RAJASTHAN ROYALS
Navdeep Saini BOW 260 317,RAJASTHAN ROYALS
Adam Zampa BOW 150 182,RAJASTHAN ROYALS
Joe Root BAT 100 121,RAJASTHAN ROYALS
Obed McCoy BOW 75 91,RAJASTHAN ROYALS
Donovan Ferreira BAT/WK 50 60,RAJASTHAN ROYALS
KM Asif BOW 30 36,RAJASTHAN ROYALS
KC Cariappa BOW 30 36,RAJASTHAN ROYALS
Kuldeep Sen BOW 20 24,RAJASTHAN ROYALS
