player,position,price_lakhs,price_dollars_thousands,team
Suyash Prabhudessai,AR,30,40,ROYAL CHALLENGERS BANGALORE
Anuj Rawat,BAT/WK,340,453,ROYAL CHALLENGERS BANGALORE
Luvnith Sisodia,BAT/WK,20,26,ROYAL CHALLENGERS BANGALORE
Shahbaz Ahmed,AR,240,320,ROYAL CHALLENGERS BANGALORE
Akash Deep,BOW,20,26,ROYAL CHALLENGERS BANGALORE
Aneeshwar Gautam,AR,20,26,ROYAL CHALLENGERS BANGALORE
Virat Kohli,BAT,1500,2000,ROYAL CHALLENGERS BANGALORE
Jason Behrendorff,BOW,75,100,ROYAL CHALLENGERS BANGALORE
Josh Hazlewood,BOW,775,1033,ROYAL CHALLENGERS BANGALORE
Dinesh Karthik,BAT/WK,550,733,ROYAL CHALLENGERS BANGALORE
Karn Sharma,BOW,50,66,ROYAL CHALLENGERS BANGALORE
David Willey,AR,200,266,ROYAL CHALLENGERS BANGALORE
Glenn Maxwell,AR,1100,1466,ROYAL CHALLENGERS BANGALORE
Siddarth Kaul,BOW,75,100,ROYAL CHALLENGERS BANGALORE
Harshal Patel,AR,1075,1433,ROYAL CHALLENGERS BANGALORE
Faf du Plessis,BAT,700,933,ROYAL CHALLENGERS BANGALORE
Chama Milind,BOW,25,33,ROYAL CHALLENGERS BANGALORE
Wanindu Hasaranga,AR,1075,1433,ROYAL CHALLENGERS BANGALORE
Mahipal Lomror,AR,95,126,ROYAL CHALLENGERS BANGALORE
Sherfan Rutherford,AR,100,133,ROYAL CHALLENGERS BANGALORE
Mohammed Siraj,BOW,700,933,ROYAL CHALLENGERS BANGALORE
Finn Allen,BAT,80,106,ROYAL CHALLENGERS BANGALORE
Anukul Roy,AR,20,26,KOLKATA KNIGHT RIDERS
Shivam Mavi,AR,725,966,KOLKATA KNIGHT RIDERS
Abhijeet Tomar,BAT,40,53,KOLKATA KNIGHT RIDERS
Pratham Singh,BAT,20,26,KOLKATA KNIGHT RIDERS
Varun Chakravarthy,AR,800,1066,KOLKATA KNIGHT RIDERS
Rasikh Salam,BOW,20,26,KOLKATA KNIGHT RIDERS
Aman Khan,AR,20,26,KOLKATA KNIGHT RIDERS
Ramesh Kumar,BAT,20,26,KOLKATA KNIGHT RIDERS
Ashok Sharma,BOW,55,73,KOLKATA KNIGHT RIDERS
Sunil Narine,BOW,600,800,KOLKATA KNIGHT RIDERS
Tim Southee,BOW,150,200,KOLKATA KNIGHT RIDERS
Sheldon Jackson,BAT/WK,60,80,KOLKATA KNIGHT RIDERS
Alex Hales,BAT,150,200,KOLKATA KNIGHT RIDERS
Mohammad Nabi,AR,100,133,KOLKATA KNIGHT RIDERS
Andre Russell,AR,1200,1600,KOLKATA KNIGHT RIDERS
Ajinkya Rahane,BAT,100,133,KOLKATA KNIGHT RIDERS
Sam Billings,BAT/WK,200,266,KOLKATA KNIGHT RIDERS
Umesh Yadav,BOW,200,266,KOLKATA KNIGHT RIDERS
Baba Indrajith,BAT/WK,20,26,KOLKATA KNIGHT RIDERS
Pat Cummins,AR,725,966,KOLKATA KNIGHT RIDERS
Nitish Rana,AR,800,1066,KOLKATA KNIGHT RIDERS
Chamika Karunaratne,AR,50,66,KOLKATA KNIGHT RIDERS
Shreyas lyer,BAT,1225,1633,KOLKATA KNIGHT RIDERS
Rinku Singh,BAT,55,73,KOLKATA KNIGHT RIDERS
Venkatesh lyer,AR,800,1066,KOLKATA KNIGHT RIDERS
Rahul Chahar,BOW,525,700,PUNJAB KINGS
Atharva Taide,AR,20,26,PUNJAB KINGS
Arshdeep Singh,BOW,400,533,PUNJAB KINGS
Prabhsimran Singh,BAT/WK,60,80,PUNJAB KINGS
Harpreet Brar,AR,380,506,PUNJAB KINGS
Vaibhav Arora,BOW,200,266,PUNJAB KINGS
Ansh Patel,AR,20,26,PUNJAB KINGS
Raj Angad Bawa,AR,200,266,PUNJAB KINGS
Benny Howell,AR,40,53,PUNJAB KINGS
Shikhar Dhawan,BAT,825,1100,PUNJAB KINGS
Rishi Dhawan,AR,55,73,PUNJAB KINGS
Jonny Bairstow,BAT/WK,675,900,PUNJAB KINGS
Bhanuka Rajapaksa,BAT,50,66,PUNJAB KINGS
Mayank Agarwal,BAT,1200,1600,PUNJAB KINGS
Liam Livingstone,AR,1150,1533,PUNJAB KINGS
Sandeep Sharma,BOW,50,66,PUNJAB KINGS
Baltej Singh,BOW,20,26,PUNJAB KINGS
Kagiso Rabada,BOW,925,1233,PUNJAB KINGS
Writtick Chatterjee,AR,20,26,PUNJAB KINGS
Shahrukh Khan,AR,900,1200,PUNJAB KINGS
Jitesh Sharma,BAT/WK,20,26,PUNJAB KINGS
Odean Smith,AR,600,800,PUNJAB KINGS
Nathan Ellis,BOW,75,100,PUNJAB KINGS
Prerak Mankad,AR,20,26,PUNJAB KINGS
Ishan Porel,BOW,25,33,PUNJAB KINGS
N Jagadeesan,BAT/WK,20,26,CHENNAI SUPER KINGS
Hari Nishaanth,BAT,20,26,CHENNAI SUPER KINGS
Subhranshu Senapati,BAT,20,26,CHENNAI SUPER KINGS
Ruturaj Gaikwad *,BAT,600,800,CHENNAI SUPER KINGS
KM Mif,BOW,20,26,CHENNAI SUPER KINGS
Mukesh Choudhary,BOW,20,26,CHENNAI SUPER KINGS
Maheesh Theekshana,BOW,70,93,CHENNAI SUPER KINGS
Simarjeet Singh,BOW,20,26,CHENNAI SUPER KINGS
Rajvardhan Hangargekar,AR,150,200,CHENNAI SUPER KINGS
Bhagath Varma,AR,20,26,CHENNAI SUPER KINGS
Prashant Solanki,BOW,120,160,CHENNAI SUPER KINGS
Ravindra Jadeja *,AR,1600,2133,CHENNAI SUPER KINGS
MS Dhoni,BAT/WK,1200,1600,CHENNAI SUPER KINGS
Chris Jordan,AR,360,480,CHENNAI SUPER KINGS
Dwaine Pretorius,AR,50,66,CHENNAI SUPER KINGS
Ambati Rayudu,BAT/WK,675,900,CHENNAI SUPER KINGS
Robin Uthappa,BAT,200,266,CHENNAI SUPER KINGS
Devon Conway,BAT,100,133,CHENNAI SUPER KINGS
Deepak Chahar,BOW,1400,1866,CHENNAI SUPER KINGS
Adam Milne,BOW,190,253,CHENNAI SUPER KINGS
Mitchell Santner,AR,190,253,CHENNAI SUPER KINGS
Dwayne Bravo,AR,440,586,CHENNAI SUPER KINGS
Shivam Dube,AR,400,533,CHENNAI SUPER KINGS
Tushar Deshpande,BOW,20,26,CHENNAI SUPER KINGS
Moeen Ali,BAT,800,1066,CHENNAI SUPER KINGS
Prithvi Shaw,BAT,750,1000,DELHI CAPITALS
Kamlesh Nagarkoti,AR,110,146,DELHI CAPITALS
Chetan Sakariya,BOW,420,560,DELHI CAPITALS
Ripal Patel,AR,20,26,DELHI CAPITALS
Yash Dillill,AR,50,66,DELHI CAPITALS
Vicky Ostwal,AR,20,26,DELHI CAPITALS
David Warner,BAT,625,833,DELHI CAPITALS
Mitchell Marsh,AR,650,866,DELHI CAPITALS
Mustafizur Rahman,BOW,200,266,DELHI CAPITALS
Mandeep Singh,BAT,110,146,DELHI CAPITALS
Shardul Thakur,BOW,1075,1433,DELHI CAPITALS
Anrich Nortje,BOW,650,866,DELHI CAPITALS
KS Bharat,BAT/WK,200,266,DELHI CAPITALS
Lungi Ngidi,BOW,50,66,DELHI CAPITALS
Axar Patel,AR,900,1200,DELHI CAPITALS
Kuldeep Yadav,BOW,200,266,DELHI CAPITALS
Tim Seifert,BAT/WK,50,66,DELHI CAPITALS
Sarfaraz Khan,AR,20,26,DELHI CAPITALS
Praveen Dubey,AR,50,66,DELHI CAPITALS
Ashwin Hebbar,BAT,20,26,DELHI CAPITALS
Rovman Powell,BAT,280,373,DELHI CAPITALS
Lalit Yadav,AR,65,86,DELHI CAPITALS
Rishabll Pant,BAT/WK,1600,2133,DELHI CAPITALS
Khaleel Ahmed,BOW,525,700,DELHI CAPITALS
Riyan Parag,AR,380,506,RAJASTHAN ROYALS
Tejas Baroka,BOW,20,26,RAJASTHAN ROYALS
Devdutt Padikkal,BAT,775,1033,RAJASTHAN ROYALS
Yashasvi Jaiswal *,AR,400,533,RAJASTHAN ROYALS
Anunay Singh,AR,20,26,RAJASTHAN ROYALS
Kuldeep Sen,BOW,20,26,RAJASTHAN ROYALS
Dhruv Jurel,BAT/WK,20,26,RAJASTHAN ROYALS
Kuldip Yadav,BOW,20,26,RAJASTHAN ROYALS
Shubham Garhwal,AR,20,26,RAJASTHAN ROYALS
Nathan Coulter-Nile,BOW,200,266,RAJASTHAN ROYALS
R Ashwin,AR,500,666,RAJASTHAN ROYALS
Trent Boult,BOW,800,1066,RAJASTHAN ROYALS
Jos Buttler,BAT/WK,1000,1333,RAJASTHAN ROYALS
Rassie van der Dussen,BAT,100,133,RAJASTHAN ROYALS
James Neesham,AR,150,200,RAJASTHAN ROYALS
Daryl Mitchell,AR,75,100,RAJASTHAN ROYALS
Karun Nair,BAT,140,186,RAJASTHAN ROYALS
Sanju Samson,BAT/WK,1400,1866,RAJASTHAN ROYALS
Yuzvendra Chahal,BOW,650,866,RAJASTHAN ROYALS
Shimron Hetmyer,BAT,850,1133,RAJASTHAN ROYALS
Navdeep Saini,BOW,260,346,RAJASTHAN ROYALS
KC Cariappa,BOW,30,40,RAJASTHAN ROYALS
Obed McCoy,BOW,75,100,RAJASTHAN ROYALS
Prasidh Krishna,BOW,1000,1333,RAJASTHAN ROYALS
Sanjay Yadav,AR,50,66,MUMBAI INDIANS
Dewald Brevis,BAT,300,400,MUMBAI INDIANS
Ramandeep Singh,AR,20,26,MUMBAI INDIANS
Mayank Markande,BOW,65,86,MUMBAI INDIANS
Aryan Juyal,BAT/WK,20,26,MUMBAI INDIANS
Arjun Tendulkar,AR,30,40,MUMBAI INDIANS
Tilak Varma,AR,170,226,MUMBAI INDIANS
Hrithik Shokeen,AR,20,26,MUMBAI INDIANS
