player,position,price_lakhs,price_dollars_thousands,team
Suyash Prabhudessai,AR,20,27,ROYAL CHALLENGERS BANGALORE
Devdutt Padikkal,BAT,20,27,ROYAL CHALLENGERS BANGALORE
Joshua Philippe,BAT/WK,20,27,ROYAL CHALLENGERS BANGALORE
Shahbaz Ahmed,BAT/WK,20,27,ROYAL CHALLENGERS BANGALORE
Virat Kohli,BAT,1700,2328,ROYAL CHALLENGERS BANGALORE
Kane Richardson,BOW,400,547,ROYAL CHALLENGERS BANGALORE
Glenn Maxwell,AR,1425,1952,ROYAL CHALLENGERS BANGALORE
Adam Zampa,BOW,150,205,ROYAL CHALLENGERS BANGALORE
Harshal Patel,AR,20,27,ROYAL CHALLENGERS BANGALORE
Pavan Deshpande,AR,20,27,ROYAL CHALLENGERS BANGALORE
Yuzvendra Chahal,BOW,600,821,ROYAL CHALLENGERS BANGALORE
Sachin Baby,BAT,20,27,ROYAL CHALLENGERS BANGALORE
AB de Villiers,BAT,1100,1506,ROYAL CHALLENGERS BANGALORE
Daniel Christian,AR,480,657,ROYAL CHALLENGERS BANGALORE
KS Bharat,BAT/WK,20,27,ROYAL CHALLENGERS BANGALORE
Kyle Jamieson,AR,1500,2054,ROYAL CHALLENGERS BANGALORE
Navdeep Saini,BOW,300,410,ROYAL CHALLENGERS BANGALORE
Washington Sundar,AR,320,438,ROYAL CHALLENGERS BANGALORE
Rabat Patidar,BAT,20,27,ROYAL CHALLENGERS BANGALORE
Daniel Sams,AR,30,41,ROYAL CHALLENGERS BANGALORE
Mohammed Azharuddeen,BAT/WK,20,27,ROYAL CHALLENGERS BANGALORE
Mohammed Siraj,BOW,260,356,ROYAL CHALLENGERS BANGALORE
Shubman Gill,BAT,180,246,KOLKATA KNIGHT RIDERS
Kamlesh Nagarkoti,AR,320,438,KOLKATA KNIGHT RIDERS
Shivam Mavi,AR,300,410,KOLKATA KNIGHT RIDERS
Varun Chakravathy,AR,400,547,KOLKATA KNIGHT RIDERS
Vaibhav Arora,BOW,20,27,KOLKATA KNIGHT RIDERS
Ben Cutting,AR,75,102,KOLKATA KNIGHT RIDERS
Sunil Narine,BOW,1250,1712,KOLKATA KNIGHT RIDERS
Sheldon Jackson,BAT/WK,20,27,KOLKATA KNIGHT RIDERS
Eoin Morgan,BAT,525,719,KOLKATA KNIGHT RIDERS
Andre Russell,AR,850,1164,KOLKATA KNIGHT RIDERS
Harbhajan Singh,BOW,200,273,KOLKATA KNIGHT RIDERS
Dinesh Karthik,BAT/WK,740,1013,KOLKATA KNIGHT RIDERS
