"","player.x","team","competition","season","total_bat_wpa","runs_for","wickets_lost","balls_faced","total_bat_XRA","total_bowl_wpa","wickets_taken","runs_against","balls_bowled","total_bowl_XRA","bowl_wpa_per_ball","bowl_XRA_per_ball","bowl_economy","bowl_average","bat_wpa_per_ball","bat_XRA_per_ball","strike_rate","average","total_wpa","total_XRA","balls_total","total_wpa_per_ball","total_XRA_per_ball","season_singular","logo","team_colours","team_colour2","player_name_first","player_name_last","player_fuzzy_ipl_contracts","player_full","position","position_detail","price_lakhs","price_dollars_thousands","wpa_per_thous","wpa_per_lakh","XRA_per_thous","XRA_per_lakh","wins","losses","games_played","win_percentage"
"1","A Badoni","Lucknow Super Giants","Indian Premier League","2022",28,161,9,139,4.76,17,2,12,12,0.92,1.42,0.08,6,6,0.2,0.03,6.95,17.89,45,5.68,151,0.3,0.04,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/333800/333885.png","#2283C6","#F58334","A","Badoni","A  Badoni","Ayush Badoni","AR","All Rounder",20,26,1.73,2.25,0.22,0.28,9,6,15,0.6
"2","A Badoni","Lucknow Super Giants","Indian Premier League","2023",2,238,9,186,41.08,0,0,0,1,1,0,1,0,NA,0.01,0.22,7.68,26.44,2,42.09,187,0.01,0.23,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/333800/333885.png","#2283C6","#F58334","A","Badoni","A  Badoni","Ayush Badoni","AR","All Rounder",20,24,0.08,0.1,1.75,2.1,8,6,14,0.571428571428571
"3","A Choudhary","Royal Challengers Bangalore","Indian Premier League","2017",-6,25,2,20,0.04,-55,5,144,108,-26.38,-0.51,-0.24,8,28.8,-0.3,0,7.5,12.5,-61,-26.34,128,-0.48,-0.21,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","A","Choudhary","A  Choudhary","Aniket Choudhary","BOW","Bowler",200,298,-0.2,-0.3,-0.09,-0.13,3,10,13,0.230769230769231
"4","A Dananjaya","Mumbai Indians","Indian Premier League","2018",2,4,0,5,-3.47,-17,0,47,25,-20.38,-0.68,-0.82,11.28,Inf,0.4,-0.69,4.8,Inf,-15,-23.85,30,-0.5,-0.8,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","A","Dananjaya","A  Dananlaya","Akila Dananlaya","BOW","Bowler",50,78,-0.19,-0.3,-0.31,-0.48,6,8,14,0.428571428571429
"5","A Manohar","Gujarat Titans","Indian Premier League","2022",11,108,6,79,19.43,0,0,0,0,0,0,0,NA,NA,0.14,0.25,8.2,18,11,19.43,79,0.14,0.25,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/334700/334707.png","#0C1C3E","#4BDCED","A","Manohar","A  Manohar","Abhinav Manohar","BAT","Batter",260,346,0.03,0.04,0.06,0.07,12,4,16,0.75
"6","A Manohar","Gujarat Titans","Indian Premier League","2023",-28,114,6,86,22.84,0,0,0,0,0,0,0,NA,NA,-0.33,0.27,7.95,19,-28,22.84,86,-0.33,0.27,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/334700/334707.png","#0C1C3E","#4BDCED","A","Manohar","A  Manohar","Abhinav Manohar","BAT","Batter",260,317,-0.09,-0.11,0.07,0.09,12,5,17,0.705882352941177
"7","A Mishra","Delhi Capitals","Indian Premier League","2019",-26,21,2,26,-3.39,46,11,271,243,-5.14,0.19,-0.02,6.69,24.64,-1,-0.13,4.85,10.5,20,-8.54,269,0.07,-0.03,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Mishra","A  Mishra","Amit Mishra","BOW","Bowler",400,555,0.04,0.05,-0.02,-0.02,9,7,16,0.5625
"8","A Mishra","Delhi Capitals","Indian Premier League","2020/21",0,0,0,0,0,5,3,72,61,-7.85,0.08,-0.13,7.08,24,0,0,NA,NA,5,-7.85,61,0.08,-0.13,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Mishra","A  Mishra","Amit Mishra","BOW","Bowler",400,563,0.01,0.01,-0.01,-0.02,8,9,17,0.470588235294118
"9","A Mishra","Delhi Capitals","Indian Premier League","2021",0,0,0,0,0,0,6,109,84,-17.26,0,-0.21,7.79,18.17,0,0,NA,NA,0,-17.26,84,0,-0.21,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Mishra","A  Mishra","Amit Mishra","BOW","Bowler",400,547,0,0,-0.03,-0.04,9,7,16,0.5625
"10","A Mishra","Delhi Daredevils","Indian Premier League","2017",36,49,1,56,-9.62,-44,10,345,237,-85.17,-0.19,-0.36,8.73,34.5,0.64,-0.17,5.25,49,-8,-94.78,293,-0.03,-0.32,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","A","Mishra","A  Mishra","Amit Mishra","BOW","Bowler",350,522,-0.02,-0.02,-0.18,-0.27,6,8,14,0.428571428571429
